Timestamp,Filename,Accuracy %,Status
2025-05-26 21:17:06,1_Your Forever 21 Order #8138161489.json,66.7,Has Differences
2025-05-26 21:17:06,2_Forever 21 Credit Notification.json,88.9,Has Differences
2025-05-26 21:17:06,3_DHL eCommerce Tracking Status Update.json,81.5,Has Differences
2025-05-26 21:17:06,4_DHL eCommerce Tracking Status Update (1).json,88.9,Has Differences
2025-05-26 21:23:51,1_Your Forever 21 Order #8138161489.json,74.1,Has Differences
2025-05-26 21:23:51,2_Forever 21 Credit Notification.json,92.6,Has Differences
2025-05-26 21:23:51,3_DHL eCommerce Tracking Status Update.json,77.8,Has Differences
2025-05-26 21:23:51,4_DHL eCommerce Tracking Status Update (1).json,88.9,Has Differences
2025-05-26 21:24:39,1_Your Forever 21 Order #8138161489.json,66.7,Has Differences
2025-05-26 21:24:39,2_Forever 21 Credit Notification.json,92.6,Has Differences
2025-05-26 21:24:39,3_DHL eCommerce Tracking Status Update.json,66.7,Has Differences
2025-05-26 21:24:39,4_DHL eCommerce Tracking Status Update (1).json,74.1,Has Differences
2025-05-26 21:25:25,1_Your Forever 21 Order #8138161489.json,74.1,Has Differences
2025-05-26 21:25:25,2_Forever 21 Credit Notification.json,92.6,Has Differences
2025-05-26 21:25:25,3_DHL eCommerce Tracking Status Update.json,77.8,Has Differences
2025-05-26 21:25:25,4_DHL eCommerce Tracking Status Update (1).json,88.9,Has Differences
2025-05-26 21:26:46,1_Your Forever 21 Order #8138161489.json,74.1,Has Differences
2025-05-26 21:26:46,2_Forever 21 Credit Notification.json,92.6,Has Differences
2025-05-26 21:26:46,3_DHL eCommerce Tracking Status Update.json,70.4,Has Differences
2025-05-26 21:26:46,4_DHL eCommerce Tracking Status Update (1).json,77.8,Has Differences
2025-05-26 21:29:59,1_Your Forever 21 Order #8138161489.json,77.8,Has Differences
2025-05-26 21:29:59,2_Forever 21 Credit Notification.json,92.6,Has Differences
2025-05-26 21:29:59,3_DHL eCommerce Tracking Status Update.json,70.4,Has Differences
2025-05-26 21:29:59,4_DHL eCommerce Tracking Status Update (1).json,85.2,Has Differences
2025-05-26 21:34:53,1_Your Forever 21 Order #8138161489.json,77.8,Has Differences
2025-05-26 21:34:53,2_Forever 21 Credit Notification.json,92.6,Has Differences
2025-05-26 21:34:53,3_DHL eCommerce Tracking Status Update.json,81.5,Has Differences
2025-05-26 21:34:53,4_DHL eCommerce Tracking Status Update (1).json,88.9,Has Differences
2025-05-26 21:37:07,1_Your Forever 21 Order #8138161489.json,77.8,Has Differences
2025-05-26 21:37:07,2_Forever 21 Credit Notification.json,92.6,Has Differences
2025-05-26 21:37:07,3_DHL eCommerce Tracking Status Update.json,70.4,Has Differences
2025-05-26 21:37:07,4_DHL eCommerce Tracking Status Update (1).json,85.2,Has Differences
2025-05-26 21:44:48,1_Your Forever 21 Order #8138161489.json,74.1,Has Differences
2025-05-26 21:44:48,2_Forever 21 Credit Notification.json,92.6,Has Differences
2025-05-26 21:44:48,3_DHL eCommerce Tracking Status Update.json,70.4,Has Differences
2025-05-26 21:44:48,4_DHL eCommerce Tracking Status Update (1).json,88.9,Has Differences
2025-05-26 21:46:28,1_Your Forever 21 Order #8138161489.json,81.5,Has Differences
2025-05-26 21:46:28,2_Forever 21 Credit Notification.json,92.6,Has Differences
2025-05-26 21:46:28,3_DHL eCommerce Tracking Status Update.json,70.4,Has Differences
2025-05-26 21:46:28,4_DHL eCommerce Tracking Status Update (1).json,92.6,Has Differences
2025-05-26 21:50:15,1_Your Forever 21 Order #8138161489.json,81.5,Has Differences
2025-05-26 21:50:15,2_Forever 21 Credit Notification.json,92.6,Has Differences
2025-05-26 21:50:15,3_DHL eCommerce Tracking Status Update.json,77.8,Has Differences
2025-05-26 21:50:15,4_DHL eCommerce Tracking Status Update (1).json,81.5,Has Differences
2025-05-26 21:50:41,1_Your Forever 21 Order #8138161489.json,77.8,Has Differences
2025-05-26 21:50:41,2_Forever 21 Credit Notification.json,96.3,Has Differences
2025-05-26 21:50:41,3_DHL eCommerce Tracking Status Update.json,77.8,Has Differences
2025-05-26 21:50:41,4_DHL eCommerce Tracking Status Update (1).json,81.5,Has Differences
2025-05-26 21:57:39,1_Your Forever 21 Order #8138161489.json,74.1,Has Differences
2025-05-26 21:57:39,2_Forever 21 Credit Notification.json,96.3,Has Differences
2025-05-26 21:57:39,3_DHL eCommerce Tracking Status Update.json,77.8,Has Differences
2025-05-26 21:57:39,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
2025-05-26 22:00:00,1_Your Forever 21 Order #8138161489.json,74.1,Has Differences
2025-05-26 22:00:00,2_Forever 21 Credit Notification.json,96.3,Has Differences
2025-05-26 22:00:00,3_DHL eCommerce Tracking Status Update.json,74.1,Has Differences
2025-05-26 22:00:00,4_DHL eCommerce Tracking Status Update (1).json,96.3,Has Differences
